Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Jun 22, 2023",42.25,43.43,42.23,43.03,43.01,417737000
"Jun 21, 2023",43.50,43.62,42.08,43.04,43.03,551603000
"Jun 20, 2023",43.00,43.99,42.67,43.81,43.79,451153000
"Jun 16, 2023",43.45,43.72,42.66,42.69,42.68,655709000
"Jun 15, 2023",42.60,43.29,42.15,42.65,42.64,568622000
"Jun 14, 2023",40.82,43.00,40.55,43.00,42.98,740465000
"Jun 13, 2023",40.19,41.10,39.74,41.02,41.01,613208000
"Jun 12, 2023",39.20,39.53,38.62,39.48,39.47,388701000
"Jun 9, 2023",39.04,39.71,38.57,38.77,38.76,427717000
"Jun 8, 2023",37.72,38.86,37.51,38.51,38.50,417772000
"Jun 7, 2023",0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend
"Jun 7, 2023",38.92,39.50,37.36,37.47,37.46,511998000
"Jun 6, 2023",38.83,39.16,38.15,38.65,38.64,388729000
"Jun 5, 2023",38.91,39.56,38.71,39.17,39.15,396094000
"Jun 2, 2023",40.10,40.50,39.06,39.33,39.31,482731000
"Jun 1, 2023",38.49,40.05,38.34,39.77,39.75,635873000
"May 31, 2023",39.49,40.29,37.82,37.83,37.82,1002580000
"May 30, 2023",40.60,41.94,39.95,40.11,40.09,923401000
"May 26, 2023",37.89,39.17,37.55,38.95,38.93,714397000
"May 25, 2023",38.52,39.48,36.63,37.98,37.96,1543911000
